title,rating,reviews
"All-New Echo Dot (5th Gen, 2023 release) | Smart speaker with Bigger sound, Motion Detection, Temperature Sensor, Alexa and Bluetooth| Black",4.1 out of 5 stars,717 ratings
"SKYBALL Party Pillar 1100, Tower Speaker with True 55 W, Drivers-Mid 4"" X2+Woofer 5.25"" X1,High end UHF Wireless Mic for Karaoke,Multimode Connectivity-AUX/USB/BT v5.0/FM,LED #JustLaunched",5.0 out of 5 stars,10 ratings
"JBL Flip 5 Wireless Portable Bluetooth Speaker, Signature Sound with Powerful Bass Radiator, Vibrant Colors with Rugged Design, PartyBoost, IPX7 Waterproof & Type C (Without Mic, Black)",4.4 out of 5 stars,"53,415 ratings"
"AmazonBasics Bluetooth Speaker 5.0 Soundbar with 16W RMS, 2000mAh Battery, Upto 19 Hrs Playtime Aux/USB Port (Grey)",3.7 out of 5 stars,"1,797 ratings"
"boAt Stone 352 Bluetooth Speaker with 10W RMS Stereo Sound, IPX7 Water Resistance, TWS Feature, Up to 12H Total Playtime, Multi-Compatibility Modes and Type-C Charging(Raging Black)",4.0 out of 5 stars,"3,699 ratings"
"boAt Stone 180 5W Bluetooth Speaker with Upto 10 Hours Playback, 1.75"" Driver, IPX7 & TWS Feature(Black)",4.1 out of 5 stars,"8,482 ratings"
"boAt Stone 1208 Bluetooth Speaker with Upto 9 Hours Playback, RGB LEDs, True Wireless Feature, Carry Strap, IPX7 and Ergonomical Design(Black)",4.2 out of 5 stars,"15,842 ratings"
"boAt Stone 352 Bluetooth Speaker with 10W RMS Stereo Sound, IPX7 Water Resistance, TWS Feature, Up to 12H Total Playtime, Multi-Compatibility Modes and Type-C Charging(Vibing Blue)",4.0 out of 5 stars,"3,699 ratings"
"JBL Go 3, Wireless Ultra Portable Bluetooth Speaker, Pro Sound, Vibrant Colors with Rugged Fabric Design, Waterproof, Type C (Without Mic, Blue)",4.4 out of 5 stars,"127,996 ratings"
"Infinity (JBL Fuze Pint, Wireless Ultra Portable Mini Speaker with Mic, Deep Bass, Dual Equalizer, Bluetooth 5.0 with Voice Assistant Support for Mobiles (Black)",4.1 out of 5 stars,"31,983 ratings"
"JBL Go 2, Wireless Portable Bluetooth Speaker with Mic, Signature Sound, Vibrant Color Options with IPX7 Waterproof & AUX (Black)",4.3 out of 5 stars,"66,065 ratings"
"AmazonBasics Bluetooth Speaker 5.0 Soundbar with 16W RMS, 2000mAh Battery, Upto 19 Hrs Playtime Aux/USB Port (Grey)",3.7 out of 5 stars,"1,797 ratings"
"boAt Stone 650 10W Bluetooth Speaker with Upto 7 Hours Playback, IPX5 and Integrated Controls (Black)",4.2 out of 5 stars,"30,491 ratings"
"Zebronics Zeb-Warrior 2.0 Multimedia Speaker With Aux Connectivity,USB Powered And Volume Control",4.1 out of 5 stars,"20,046 ratings"
"ZEBRONICS Zeb-Fame 5watts 2.0 Multi Media Speakers with AUX, USB and Volume Control (Black)",3.9 out of 5 stars,"7,197 ratings"
"JBL Go 2, Wireless Portable Bluetooth Speaker with Mic, Signature Sound, Vibrant Color Options with IPX7 Waterproof & AUX (Black)",4.3 out of 5 stars,"66,065 ratings"
"Zebronics Zeb-Pluto 2.0 Multimedia Speaker with Aux Connectivity,USB Powered and Volume Control",4.0 out of 5 stars,"1,655 ratings"
"boAt Stone 1000 14W Bluetooth Speaker with 8 Hours Playback, Bluetooth v5.0 & IPX5(Black)",4.3 out of 5 stars,"36,799 ratings"
"ZEBRONICS Zeb-Astra 20 Wireless BT v5.0 Portable Speaker with 10W RMS Output, TWS, 10H Backup Approx, Built in Rechargeable Battery FM Radio, AUX, mSD, USB, Call Function and Dual 52mm Drivers Multi",3.8 out of 5 stars,"3,362 ratings"
"Zebronics ZEB-COUNTY 3W Wireless Bluetooth Portable Speaker With Supporting Carry Handle, USB, SD Card, AUX, FM & Call Function. (Green)",3.9 out of 5 stars,"25,831 ratings"
"pTron Newly Launched Fusion Maxx 20W Bluetooth Wireless Party Speaker with Wired Karaoke Mic, 20Hrs Playtime, Immersive Sound, BT V5.2, 3.5mm AUX, USB, Micro SD Card Slot & Integrated Controls (Black)",3.6 out of 5 stars,133 ratings
"Tribit XSound Go 16W 5.0 Bluetooth Speaker with Loud Sound & Rich Bass, 24H Playtime, IPX7 Waterproof, Wireless Stereo Pairing, Type-C, Portable Wireless Speaker for Home, Outdoor, Travel (Black)",4.4 out of 5 stars,"8,363 ratings"
